Player Name,Position,Tweet #,Tweet Text,Gender,Sentiment Score,Sentiment Category,Topic_Performance,Topic_Appearance,Topic_Age
Cooper Flagg,F,Tweet1, Duke fans are going to LOVE Cooper Flagg,Men,0.7125,Positive,0,0,0
Johni Broome,F,Tweet1,Johni Broome is an absolute beast on both ends of the floor,Men,0.0,Neutral,0,0,0
Walter Clayton,G,Tweet1,Walter Clayton is the definition of a big-game player,Men,0.0,Neutral,0,0,0
Braden Smith,G,Tweet1, you love Braden Smith’s game,Men,0.6369,Positive,0,0,0
Mark Sears,G,Tweet1,Mark Sears can light it up in a hurry when he gets hot,Men,0.0,Neutral,0,1,0
Derik Queen,C,Tweet1,Derik Queen is going to be a problem in the paint for years to come,Men,-0.4019,Negative,0,0,0
Zakai Ziegler,G,Tweet1, No one plays tougher defense than Zakai Zeigler at his size,Men,-0.1877,Negative,1,0,0
Caleb Love,G,Tweet1,Arizona is lucky to have Caleb Love,Men,0.7906,Positive,0,0,0
Richie Saunders,G,Tweet1, Richie Saunders has that perfect balance of defense and offense,Men,0.4939,Positive,1,0,0
Chad Baker-Mazara,G,Tweet1,Chad Baker-Mazara’s leadership on and off the floor is invaluable,Men,0.0,Neutral,0,0,0
Cooper Flagg,F,Tweet2, Is it too early to say Cooper Flagg could be the number one pick,Men,0.0772,Positive,0,0,0
Johni Broome,F,Tweet2, That block and dunk combo from Johni Broome last night was insane,Men,-0.6808,Negative,1,0,0
Walter Clayton,G,Tweet2, Florida’s national title run doesn’t happen without Walter Clayton stepping up,Men,0.0,Neutral,0,0,0
Braden Smith,G,Tweet2, Braden Smith has that rare ability to make his teammates better,Men,0.6369,Positive,0,0,0
Mark Sears,G,Tweet2, That left-handed jumper from Mark Sears is so smooth,Men,0.0,Neutral,0,0,0
Derik Queen,C,Tweet2, That block by Derik Queen was pure domination,Men,-0.4767,Negative,1,0,0
Zakai Ziegler,G,Tweet2, Zakai Zeigler is the definition of a scrappy guard,Men,0.0,Neutral,0,0,0
Caleb Love,G,Tweet2, Caleb Love’s ability to hit clutch shots is unmatched,Men,0.25,Positive,0,1,0
Richie Saunders,G,Tweet2, Richie Saunders can hit the big shots when BYU needs them most,Men,0.0,Neutral,0,1,0
Chad Baker-Mazara,G,Tweet2, Watching Chad Baker-Mazara play is like watching a seasoned pro,Men,0.5994,Positive,0,0,0
Cooper Flagg,F,Tweet3, Cooper Flagg reminds me of a young Larry Bird with more bounce,Men,0.0,Neutral,0,0,1
Johni Broome,F,Tweet3, Broome is going to make a big impact on the college basketball scene,Men,0.0,Neutral,0,0,0
Walter Clayton,G,Tweet3, You can’t leave Walter Clayton open from three it’s automatic,Men,-0.0516,Negative,0,0,0
Braden Smith,G,Tweet3, Watching Braden Smith orchestrate the offense is like watching a maestro,Men,0.128,Positive,1,0,0
Mark Sears,G,Tweet3, When Mark Sears is on,Men,0.0,Neutral,0,0,0
Derik Queen,C,Tweet3, Derik Queen’s versatility as a freshman center is impressive,Men,0.5106,Positive,0,0,1
Zakai Ziegler,G,Tweet3," Zakai Zeigler might be 5'9"" but he plays like he’s 6'5""",Men,0.6956,Positive,0,0,0
Caleb Love,G,Tweet3, Caleb Love’s offensive game is so versatile,Men,-0.4588,Negative,0,0,0
Richie Saunders,G,Tweet3, Richie Saunders is a major spark plug for BYU’s offense,Men,0.0498,Neutral,1,0,0
Chad Baker-Mazara,G,Tweet3, Chad Baker-Mazara can still elevate his game despite being 25,Men,0.0,Neutral,0,0,0
Cooper Flagg,F,Tweet4, That behind-the-back pass from Cooper Flagg was wild,Men,0.0,Neutral,1,0,0
Johni Broome,F,Tweet4, Watching Johni Broome play is like watching a highlight reel in real time,Men,0.743,Positive,0,0,0
Walter Clayton,G,Tweet4, Watching Walter Clayton play is like watching a pro guard in the making,Men,0.5994,Positive,0,0,0
Braden Smith,G,Tweet4, Braden Smith’s passing ability makes Purdue’s offense flow smoothly,Men,0.0772,Positive,1,0,0
Mark Sears,G,Tweet4, he’s one of the hardest players to guard,Men,0.0,Neutral,0,0,0
Derik Queen,C,Tweet4, Derik Queen has the potential to be one of the best big men in college hoops,Men,0.6369,Positive,0,0,0
Zakai Ziegler,G,Tweet4, Every time Zakai Zeigler is on the floor you know he’s giving 110%,Men,0.34,Positive,0,0,0
Caleb Love,G,Tweet4, Watching Caleb Love break down defenders is a thing of beauty,Men,0.8519,Positive,0,0,0
Richie Saunders,G,Tweet4, The way Richie Saunders moves without the ball is so impressive,Men,0.6418,Positive,0,0,0
Chad Baker-Mazara,G,Tweet4, Chad Baker-Mazara’s ability to attack the rim is impressive for a guard,Men,0.3612,Positive,0,0,0
Cooper Flagg,F,Tweet5, You can’t teach what Cooper Flagg has he’s special,Men,0.4019,Positive,0,0,0
Johni Broome,F,Tweet5, The way Johni Broome reads the game is next-level,Men,0.0,Neutral,0,0,0
Walter Clayton,G,Tweet5, Clayton's defense is as good as his scoring he’s a two-way player,Men,0.5267,Positive,1,0,0
Braden Smith,G,Tweet5, Braden Smith is so calm under pressure always makes the right play,Men,0.4456,Positive,0,0,0
Mark Sears,G,Tweet5, Mark Sears has that lefty touch that makes him so unique,Men,0.0,Neutral,0,0,0
Derik Queen,C,Tweet5, Watching Derik Queen dominate in the post makes you realize how special he is,Men,0.296,Positive,0,0,0
Zakai Ziegler,G,Tweet5, Zakai Zeigler’s energy is contagious for Tennessee,Men,-0.0772,Negative,0,0,0
Caleb Love,G,Tweet5, Caleb Love has that killer instinct that you can’t teach,Men,-0.0258,Neutral,0,0,0
Richie Saunders,G,Tweet5, Richie Saunders has been so consistent for BYU this season,Men,0.0,Neutral,0,0,0
Chad Baker-Mazara,G,Tweet5, Chad Baker-Mazara has been Auburn’s go-to guy when they need a basket,Men,0.0,Neutral,0,0,0
Cooper Flagg,F,Tweet6, Watching Cooper Flagg play is like watching poetry in motion,Men,0.5994,Positive,0,0,0
